City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,52.48,99,100,2.84,light rain
1,Arraial Do Cabo,BR,-22.9661,-42.0278,75.38,91,100,9.24,overcast clouds
2,Busselton,AU,-33.65,115.3333,98.04,33,57,15.95,broken clouds
3,Ushuaia,AR,-54.8,-68.3,42.46,70,75,23.02,broken clouds
4,Hithadhoo,MV,-0.6,73.0833,81.64,74,100,10.09,overcast clouds
5,Georgetown,MY,5.4112,100.3354,87.73,79,20,3.0,few clouds
6,Pevek,RU,69.7008,170.3133,-19.21,100,25,3.58,scattered clouds
7,Qaanaaq,GL,77.484,-69.3632,-13.45,56,99,8.46,overcast clouds
8,Kavieng,PG,-2.5744,150.7967,83.52,71,82,5.46,broken clouds
9,Nemuro,JP,43.3236,145.575,25.23,60,23,14.58,few clouds
10,Camana,PE,-16.6228,-72.7111,71.15,82,85,6.91,overcast clouds
11,Teguise,ES,29.0605,-13.564,64.62,73,0,4.61,clear sky
12,Rikitea,PF,-23.1203,-134.9692,78.08,74,100,18.41,overcast clouds
13,Coria,ES,39.9879,-6.5377,43.45,80,100,0.54,overcast clouds
14,Atuona,PF,-9.8,-139.0333,79.0,72,4,17.02,clear sky
15,Norman Wells,CA,65.282,-126.8329,-39.96,67,20,0.0,few clouds
16,Terbuny,RU,52.1389,38.2789,22.68,97,100,6.24,snow
17,Port Hardy,CA,50.6996,-127.4199,45.75,87,75,11.5,broken clouds
18,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,82,100,11.43,overcast clouds
19,Salto Del Guaira,PY,-24.0625,-54.3069,77.09,87,100,7.4,light rain
20,Bubaque,GW,11.2833,-15.8333,77.11,71,0,7.07,clear sky
21,Hermanus,ZA,-34.4187,19.2345,60.91,72,100,9.33,overcast clouds
22,Vao,NC,-22.6667,167.4833,75.15,92,100,5.59,overcast clouds
23,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,9.22,broken clouds
24,Butaritari,KI,3.0707,172.7902,81.9,76,17,14.52,light rain
25,Wittingen,DE,52.7269,10.7361,43.68,100,100,10.58,light rain
26,Cabras,IT,39.93,8.5314,46.63,81,5,6.69,clear sky
27,Jardim,BR,-21.4803,-56.1381,72.9,98,100,3.76,light rain
28,Olafsvik,IS,64.8945,-23.7142,27.7,74,96,28.03,overcast clouds
29,Upernavik,GL,72.7868,-56.1549,4.57,67,100,6.62,overcast clouds
30,Tual,ID,-5.6667,132.75,83.71,72,84,14.52,broken clouds
31,Punta Arenas,CL,-53.15,-70.9167,44.71,57,75,8.05,broken clouds
32,Yulara,AU,-25.2406,130.9889,78.64,27,84,19.57,broken clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,7,1.99,clear sky
34,Maceio,BR,-9.6658,-35.7353,78.24,83,20,3.44,few clouds
35,Soubre,CI,5.7856,-6.6083,70.88,98,70,1.97,broken clouds
36,Bredasdorp,ZA,-34.5322,20.0403,60.12,72,100,3.44,overcast clouds
37,Severo-Kurilsk,RU,50.6789,156.125,31.12,90,100,10.83,light snow
38,Bluff,NZ,-46.6,168.3333,52.81,84,100,3.29,moderate rain
39,Rio Grande,BR,-32.035,-52.0986,70.95,86,100,10.0,light rain
40,Ribeira Grande,PT,38.5167,-28.7,58.6,75,100,17.43,overcast clouds
41,Kapaa,US,22.0752,-159.319,78.78,67,0,1.01,clear sky
42,Albany,US,42.6001,-73.9662,38.48,91,100,3.0,snow
43,Chadan,RU,51.2833,91.5833,-18.4,96,27,0.81,scattered clouds
44,Cockburn Town,TC,21.4612,-71.1419,75.78,70,1,19.84,clear sky
45,Katherine,AU,-14.4667,132.2667,86.32,66,96,5.75,overcast clouds
46,Whitehorse,CA,60.7161,-135.0538,-6.83,77,100,4.61,light snow
47,Port Alfred,ZA,-33.5906,26.891,69.89,74,97,15.95,overcast clouds
48,Nikolskoye,RU,59.7035,30.7861,1.29,100,100,2.77,overcast clouds
49,Bathsheba,BB,13.2167,-59.5167,77.61,69,20,12.66,few clouds
50,Lorengau,PG,-2.0226,147.2712,84.7,63,100,9.17,overcast clouds
51,Rudnichnyy,RU,59.617,52.4703,-3.68,100,100,1.9,overcast clouds
